num_items,time
3,0.00010271299925079802
4,0.000119574000564171
5,0.00014218700016499497
6,0.00016435900033684447
7,0.00018547900072007906
8,0.00020420399960130453
9,0.00023062299987941515
10,0.0002482859999872744
10,0.00025153299975499976
20,0.0004774170001837774
30,0.0006820819999120431
40,0.0009220530000675353
50,0.001152785999693151
60,0.0013678200002686935
70,0.0016100740003821556
80,0.0018591130001368583
90,0.0020829529994443874
100,0.002322703000572801
150,0.0035398800000621122
200,0.004735045000415994
250,0.0058595480004441924
300,0.0072775219996401574
350,0.008638106999569573
400,0.009994957000344584
450,0.011337308000292978
500,0.012804103999769723
550,0.014590961000067182
600,0.01556497199999285
650,0.01704041200082429
700,0.0184078820002469
750,0.01978789399981906
800,0.02139015400007338
850,0.022834848999991664
900,0.024185636000765953
950,0.02554444900033559
1000,0.027019398999982513
1250,0.03431820100013283
1500,0.04151384000033431
1750,0.04863126000054763
2000,0.05556493599942769
